track_id,track_name,track_popularity
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,99
0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,88
6XjDF6nds4DE2BBbagZol6,Gata Only,98
3qhlB30KknSejmIvZZLjOD,End of Beginning,100
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,87
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),96
3rUGC1vUpkDG9CZFHMur1t,greedy,97
2qSkIjg1o9h3YT9RAgYN75,Espresso,91
2tudvzsrR56uom6smgOcSf,Like That,96
17phhZDn6oGtzMe56NuWvj,Lose Control,94
1aKvZDoLGkNMxoRYgkckZG,Magnetic,94
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",94
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,97
0mflMxspEfB0VbI1kyLiAv,Stick Season,95
7wLShogStyDeZvL0a6daN5,TEXAS HOLD 'EM,88
3w0w2T288dec0mgeZZqoNN,CARNIVAL,96
1bjeWoagtHmUKputLVyDxQ,Saturn,94
7bywjHOc0wSjGGbj04XbVi,LUNA,95
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,95
2uqYupMHANxnwgeiXTZXzd,Austin,91
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),94
5LhI8m7n8xlQmNe3b7Rwis,Madonna,93
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,93
2DbV9TSdeGr5FobCFDRzvq,"Natanael Cano: Bzrp Music Sessions, Vol. 59",88
59xD5osEFsaNt5PXfIKUnX,Illusion,86
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,94
0dEAiKNbHt4mrjjoiL0loc,Corazón de Piedra,91
28drn6tQo95MRvO0jQEo5C,Type Shit,92
7iUtQNMRB8ZkKC4AmEuCJC,LA FALDA,93
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,93
3hRV0jL3vUpRrcy398teAU,The Night We Met,91
5aIVCx5tnk0ntmdiinnYvw,Water,92
3U5JVgI2x4rDyHGObzJfNf,Unwritten,93
7sVbKoBdhXtYCEOO6qC1SN,We Still Don't Trust You,85
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,90
48lxT5qJF0yYyf2z4wB4xW,Pedro,86
52eIcoLUM25zbQupAZYoFh,redrum,94
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),87
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),92
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,90
6Qb7YsAqH4wWFUMbGsCpap,Training Season,92
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,92
4OMJGnvZfDvsePyCwRGO7X,Houdini,92
3lMzT16MjAKKXF7pSZn13B,Tell Ur Girlfriend,87
7MXVkk9YMctZqd1Srtv4MB,Starboy,92
2Zo1PcszsT9WQ0ANntJbID,Feather,91
7jtQIBanIiJOMS6RyCx6jZ,Another Love,66
2o1pb13quMReXZqE7jWsgq,intro (end of the world),91
51eSHglvG1RJXtL3qI5trr,Slow It Down,85
5RqSsdzTNPX1uzkmlHCFvK,QLONA,90
